epoch;column1;column2;column3;column4;column5;column6;column7;column8;column9;column10;column11;column12;column13
1614468564;1.00;1.00;;;;25.96;34.46;99356.00;6.00;;;;
1614568564;1.00;1.00;;;;25.96;34.39;99352.00;6.00;;;;
1614668564;1.00;1.00;;;;25.96;34.45;99357.00;6.00;;;;
1614768564;1.00;1.00;;;;25.96;34.39;99353.00;6.00;;;;
1614868564;1.00;1.00;;;;25.95;34.35;99355.00;6.00;;;;
1614968564;1.00;1.00;;;;25.94;34.36;99358.00;6.00;;;;
1615068564;1.00;1.00;;;;25.94;34.36;99358.00;6.00;;;;
1615168564;1.00;1.00;;;;25.93;34.42;99358.00;6.00;;;;
1615268564;1.00;1.00;;;;25.93;34.43;99357.00;6.00;;;;
1615368564;1.00;1.00;;;;25.91;34.37;99361.00;6.00;;;;
1615468564;1.00;1.00;;;;25.91;34.47;99361.00;6.00;;;;
1614418563;1.00;1.00;;;;25.92;34.55;99361.00;6.00;;;;
1614418564;1.00;1.00;;;;25.91;34.55;99360.00;6.00;;;;
1614418566;1.00;1.00;;;;25.90;34.54;99363.00;6.00;;;;
1614418576;1.00;1.00;;;;25.89;34.56;99360.00;6.00;;;;
1614418586;1.00;1.00;;;;25.88;34.56;99362.00;6.00;;;;
1614418596;1.00;1.00;;;;25.89;34.99;99361.00;6.00;;;;
1614418606;1.00;1.00;;;;25.91;34.83;99363.00;6.00;;;;
1614418616;1.00;1.00;;;;25.92;34.81;99364.00;6.00;;;;
1614418626;1.00;1.00;;;;25.91;34.73;99362.00;6.00;;;;
1614418636;1.00;1.00;;;;25.92;34.79;99364.00;6.00;;;;
1614418646;1.00;1.00;;;;25.93;34.78;99363.00;6.00;;;;
1614418656;1.00;1.00;;;;25.95;34.74;99363.00;6.00;;;;
1614418666;1.00;1.00;;;;25.93;34.68;99364.00;6.00;;;;
1614418676;1.00;1.00;;;;25.94;34.68;99366.00;6.00;;;;
1614418686;1.00;1.00;;;;25.96;34.65;99363.00;6.00;;;;
1614418696;1.00;1.00;;;;25.96;34.65;99364.00;6.00;;;;
1614418706;1.00;1.00;;;;25.96;34.68;99366.00;6.00;;;;
1614418716;1.00;1.00;;;;25.96;34.74;99362.00;6.00;;;;
1614418726;1.00;1.00;;;;25.97;34.86;99363.00;6.00;;;;
1614418736;1.00;1.00;;;;25.97;34.91;99363.00;6.00;;;;
1614418746;1.00;1.00;;;;25.99;34.88;99365.00;6.00;;;;
1614418756;1.00;1.00;;;;26.00;34.78;99365.00;6.00;;;;
1614418766;1.00;1.00;;;;26.01;34.72;99364.00;6.00;;;;
1614418776;1.00;1.00;;;;26.01;34.76;99366.00;6.00;;;;
